0.52	0.52	-0.136537	0.00276016	2.30063
0.52	0.54	-0.157933	0.00328604	1.25336
0.52	0.56	-0.171537	0.00257567	2.23742
0.52	0.58	-0.18707	0.0031281	2.23385
0.52	0.6	-0.210255	0.00275694	2.23441
0.52	0.62	-0.222146	0.00266885	2.23455
0.52	0.64	-0.229511	0.00254187	1.22235
0.52	0.66	-0.242062	0.0034703	3.55111
0.52	0.68	-0.247637	0.00240323	1.80125
0.52	0.7	-0.257175	0.00220717	1.796
0.52	0.72	-0.266742	0.00232544	1.79677
0.52	0.74	-0.270868	0.00223699	1.79817
0.52	0.76	-0.27081	0.00364774	3.99988
0.52	0.78	-0.283443	0.00476477	0.36261
0.52	0.8	-0.27965	0.00394822	4.18265
0.54	0.52	-0.169265	0.0112682	0.1657
0.54	0.54	-0.183483	0.00427123	4.22752
0.54	0.56	-0.184833	0.0125534	0.15506
0.54	0.58	-0.215346	0.00385198	4.10383
0.54	0.6	-0.222788	0.00422469	0.46607
0.54	0.62	-0.246529	0.00328894	3.52598
0.54	0.64	-0.252576	0.0026544	2.50769
0.54	0.66	-0.259574	0.00232891	1.22207
0.54	0.68	-0.269817	0.00256353	2.38827
0.54	0.7	-0.278478	0.00264549	2.38841
0.54	0.72	-0.278851	0.00258897	2.38841
0.54	0.74	-0.292388	0.00279075	2.38904
0.54	0.76	-0.287034	0.00350452	2.34515
0.54	0.78	-0.291247	0.00289021	2.34557
0.54	0.8	-0.288952	0.00373255	2.44427
0.56	0.52	-0.197428	0.00296211	1.38741
0.56	0.54	-0.221339	0.00277576	2.54066
0.56	0.56	-0.234346	0.00286909	2.5408
0.56	0.58	-0.253962	0.0024856	1.3508
0.56	0.6	-0.261222	0.00241975	2.45855
0.56	0.62	-0.266809	0.00245219	1.28038
0.56	0.64	-0.278612	0.00248627	2.46961
0.56	0.66	-0.283282	0.00213157	1.45762
0.56	0.68	-0.288617	0.00244468	2.14796
0.56	0.7	-0.291611	0.00221768	2.14831
0.56	0.72	-0.301532	0.00234008	2.14845
0.56	0.74	-0.298168	0.00249081	2.14845
0.56	0.76	-0.298399	0.00274555	1.92963
0.56	0.78	-0.301132	0.00281759	1.93138
0.56	0.8	-0.30102	0.00254523	1.93124
0.58	0.52	-0.229334	0.00264866	1.92998
0.58	0.54	-0.245795	0.0026949	1.93012
0.58	0.56	-0.258118	0.0022066	1.93054
0.58	0.58	-0.275591	0.00203109	1.88049
0.58	0.6	-0.285492	0.0026033	2.79749
0.58	0.62	-0.289566	0.00247622	2.79749
0.58	0.64	-0.303575	0.00239937	2.79854
0.58	0.66	-0.30413	0.0021242	1.13191
0.58	0.68	-0.311039	0.00239698	2.66085
0.58	0.7	-0.31059	0.00279827	2.66015
0.58	0.72	-0.308511	0.00286185	2.65952
0.58	0.74	-0.309665	0.00273713	2.6591
0.58	0.76	-0.312351	0.00260928	1.2822
0.58	0.78	-0.306717	0.00372714	4.25734
0.58	0.8	-0.319772	0.00711512	0.30591
0.6	0.52	-0.246594	0.00405662	4.05084
0.6	0.54	-0.27659	0.00281884	0.66039
0.6	0.56	-0.290407	0.00267885	3.65877
0.6	0.58	-0.300749	0.00279006	0.82846
0.6	0.6	-0.309021	0.00212947	3.46683
0.6	0.62	-0.317699	0.00262551	3.46683
0.6	0.64	-0.319537	0.00246134	0.94851
0.6	0.66	-0.327163	0.00238773	3.21532
0.6	0.68	-0.326324	0.00229428	3.21532
0.6	0.7	-0.330521	0.00268936	3.21595
0.6	0.72	-0.322064	0.00249133	1.00185
0.6	0.74	-0.322457	0.00311253	4.49429
0.6	0.76	-0.323133	0.00644009	0.36688
0.6	0.78	-0.320993	0.00372105	4.60475
